City_dep,City_arr,Temps_voyage,co2,dpt_dep,dpt_arr
Paris,Nantes,65,66.9,75,44
Marseille,Nantes,85,87.9,13,44
Toulouse,Nantes,65,80.8,31,44
Nice,Nantes,95,89.5,6,44
Hyeres,Nantes,95,135,83,44
Lyon,Nantes,75,85.3,69,44
Strasbourg,Nantes,90,135.3,67,44
Lille,Nantes,75,103,59,44
Paris,Toulouse,80,76.5,75,31
Nantes,Toulouse,65,80.8,44,31
Marseille,Toulouse,70,62.1,13,31
Lyon,Toulouse,60,72.5,69,31
Rennes,Toulouse,70,124.5,35,31
Strasbourg,Toulouse,85,112.2,67,31
Lille,Toulouse,95,114,59,31
Paris,Bordeaux,75,71.4,75,33
Marseille,Bordeaux,65,79,13,33
Nice,Bordeaux,80,84.6,6,33
Lyon,Bordeaux,65,76.2,69,33
Lille,Bordeaux,80,109.4,59,33
Paris,Lyon,70,65.7,75,69
Nantes,Lyon,70,85.3,44,69
Marseille,Lyon,55,53,13,69
Toulouse,Lyon,55,72.5,31,69
Nice,Lyon,55,132,6,69
Bordeaux,Lyon,70,74.4,33,69
Brest,Lyon,90,118.4,29,69
Pau,Lyon,75,109.6,64,69
Biarritz-bayonne,Lyon,75,113.1,64,69
Rennes,Lyon,80,96.3,35,69
Lorient,Lyon,85,156.4,56,69
Strasbourg,Lyon,65,82,67,69
Lille,Lyon,75,117.1,59,69
Caen,Lyon,75,114.4,14,69
Metz,Lyon,60,100.2,57,69
Poitiers,Lyon,70,54.6,86,69
La Rochelle,Lyon,130,108.5,17,69
Paris,Marseille,85,82.7,75,13
Nantes,Marseille,80,85.8,44,13
Toulouse,Marseille,65,60.6,31,13
Bordeaux,Marseille,65,77.1,33,13
Brest,Marseille,95,84.4,29,13
Biarritz-bayonne,Marseille,65,59,64,13
Lyon,Marseille,55,53,69,13
Rennes,Marseille,90,119.1,35,13
Strasbourg,Marseille,75,100,67,13
Lille,Marseille,100,114.7,59,13
Caen,Marseille,90,111.6,14,13
Metz,Marseille,80,131.4,57,13
La Rochelle,Marseille,85,123,17,13
Paris,Montpellier,80,79.4,75,34
Paris,Nice,90,80.2,75,6
Nantes,Nice,95,87.3,44,6
Bordeaux,Nice,80,82.5,33,6
Brest,Nice,115,186,29,6
Pau,Nice,80,131.4,64,6
Biarritz-bayonne,Nice,80,104,64,6
Lyon,Nice,55,31,69,6
Rennes,Nice,100,106.4,35,6
Clermont-Ferrand,Nice,60,68,63,6
Strasbourg,Nice,75,81.2,67,6
Lille,Nice,100,88.9,59,6
Caen,Nice,95,150,14,6
Metz,Nice,80,119.5,57,6
La Rochelle,Nice,85,150,17,6
Quimper,Nice,100,106.7,29,6
Paris,Brest,70,80.2,75,29
Marseille,Brest,100,84.4,13,29
Nice,Brest,115,186,6,29
Pau,Brest,100,128.9,64,29
Lyon,Brest,95,118.4,69,29
Paris,Mulhouse,65,87.3,75,68
Paris,Pau,95,128.9,75,64
Nice,Pau,80,131.4,6,64
Brest,Pau,100,128.9,29,64
Lyon,Pau,75,109.6,69,64
Paris,Rennes,60,80.7,75,35
Marseille,Rennes,95,119.1,13,35
Toulouse,Rennes,75,121.5,31,35
Nice,Rennes,105,106.4,6,35
Lyon,Rennes,85,96.3,69,35
Paris,Biarritz-bayonne,85,93.3,75,64
Marseille,Biarritz-bayonne,70,59,13,64
Nice,Biarritz-bayonne,85,104,6,64
Lyon,Biarritz-bayonne,75,113.1,69,64
Paris,Lorient,75,108.5,75,56
Lyon,Lorient,85,156.4,69,56
Paris,Hyeres,100,128.6,75,83
Nantes,Hyeres,95,135,44,83
Strasbourg,Hyeres,80,107,67,83
Lille,Hyeres,100,150,59,83
Paris,Clermont-Ferrand,60,88.3,75,63
Nice,Clermont-Ferrand,60,68,6,63
Paris,Perpignan,85,114.7,75,66
Strasbourg,Perpignan,100,81.4,67,66
Lille,Perpignan,100,105,59,66
Nantes,Paris,65,66.9,44,75
Marseille,Paris,90,82.7,13,75
Toulouse,Paris,90,74.6,31,75
Nice,Paris,95,80.2,6,75
Bordeaux,Paris,80,69.6,33,75
Brest,Paris,80,80.2,29,75
Pau,Paris,95,128.9,64,75
Biarritz-bayonne,Paris,90,93.3,64,75
Hyeres,Paris,100,128.6,83,75
Montpellier,Paris,90,79.4,34,75
Lyon,Paris,70,65.7,69,75
Perpignan,Paris,90,114.7,66,75
Mulhouse,Paris,75,87.3,68,75
Rennes,Paris,65,80.7,35,75
Lorient,Paris,75,108.5,56,75
Clermont-Ferrand,Paris,70,88.3,63,75
Nantes,Strasbourg,85,135.3,44,67
Marseille,Strasbourg,75,100,13,67
Toulouse,Strasbourg,90,129,31,67
